study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJDB4176	DRP004793	SAMD00114722	DRS087519	DRX120220	DRR127476	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	30430036	8493149732	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114722	metagenomic data from human fecal samples	DRP004793	DRX120220	DRR127476	243592286;3026192153;3277648990	2d8318c9b4cadc58af1c31ad52137a27;4e1d982154870da72a931f65d627f922;747e54ef659bc10bd933c609fd750920	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127476/DRR127476.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127476/DRR127476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127476/DRR127476_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127476/DRR127476.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127476/DRR127476_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127476/DRR127476_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127476/DRR127476.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127476/DRR127476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127476/DRR127476_2.fastq.gz							5423931469	177dcd44cdf9953822be5825d9bc74a9	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127476	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127476	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127476				SAMD00114722		human feces_10232	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114724	DRS087520	DRX120222	DRR127478	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	23380633	6486706572	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114724	metagenomic data from human fecal samples	DRP004793	DRX120222	DRR127478	134362965;2337037936;2475653578	961f3154ab8783cd5d23a189a162ec59;9bc98f86c04ee7c1b5bd62ed82169592;fc4398b8bbcedb083287ec61abab58bb	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127478/DRR127478.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127478/DRR127478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127478/DRR127478_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127478/DRR127478.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127478/DRR127478_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127478/DRR127478_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127478/DRR127478.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127478/DRR127478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127478/DRR127478_2.fastq.gz							4104815073	7894dac167a34770c70075fd2c8e1641	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127478	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127478	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127478				SAMD00114724		human feces_10238	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114727	DRS087521	DRX120225	DRR127481	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	32411288	8714631225	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114727	metagenomic data from human fecal samples	DRP004793	DRX120225	DRR127481	144905077;3042572078;3176175744	8258e8cfd146e68a7ec9da8f6c40965f;bec8f57f854cfc9e7dc39e691c8bd696;2a2293162b483676aa914ead8dbee17e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127481/DRR127481.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127481/DRR127481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127481/DRR127481_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127481/DRR127481.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127481/DRR127481_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127481/DRR127481_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127481/DRR127481.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127481/DRR127481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127481/DRR127481_2.fastq.gz							5281910813	3edccaa37402081525268812fbe8064f	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127481	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127481	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127481				SAMD00114727		human feces_10332	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114731	DRS087522	DRX120229	DRR127485	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	33368999	9023711379	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114731	metagenomic data from human fecal samples	DRP004793	DRX120229	DRR127485	142266399;3117270197;3264965134	edd264ab088e715b0e77ede30756ada9;97c56d4c9df1915ff70677a0047e9360;07e434fe59b097bc59deeb615279e897	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127485/DRR127485.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127485/DRR127485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127485/DRR127485_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127485/DRR127485.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127485/DRR127485_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127485/DRR127485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127485/DRR127485.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127485/DRR127485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127485/DRR127485_2.fastq.gz							5416457567	b413667c9d8b1600b944e05b3b52a91b	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127485	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127485	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127485				SAMD00114731		human feces_10322	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114734	DRS087523	DRX120232	DRR127488	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	42374079	11268958205	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114734	metagenomic data from human fecal samples	DRP004793	DRX120232	DRR127488	161962826;3915400782;4089485904	0c47ed2780f8fac636324463eac24181;821cf3b2cb406273c704abc511664851;b69d76a165c7f0e40f7cfbbb911f4713	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127488/DRR127488.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127488/DRR127488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127488/DRR127488_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127488/DRR127488.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127488/DRR127488_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127488/DRR127488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127488/DRR127488.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127488/DRR127488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127488/DRR127488_2.fastq.gz							6774877785	7085ed3b039f38a7947c95fbcc55d4ad	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127488	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127488	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127488				SAMD00114734		human feces_10325	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114737	DRS087524	DRX120235	DRR127491	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	8172517	2124339384	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114737	metagenomic data from human fecal samples	DRP004793	DRX120235	DRR127491	25925042;692560696;730306296	47aa8b4a29bdf7fa1b7113b713b73708;213af26c8b86ed13ecab57335ff48b78;928142ee0c8b8594ba529ee42cab391b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127491/DRR127491.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127491/DRR127491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127491/DRR127491_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127491/DRR127491.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127491/DRR127491_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127491/DRR127491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127491/DRR127491.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127491/DRR127491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127491/DRR127491_2.fastq.gz							1203596731	821daa5c5343a4517ac996209a0c706a	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127491	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127491	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127491				SAMD00114737		human feces_10118	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114753	DRS087525	DRX120251	DRR127507	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	17768593	5033451978	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114753	metagenomic data from human fecal samples	DRP004793	DRX120251	DRR127507	58308126;1682496504;1759027219	72d40ebe2288a0d2f22d9d6c53ae2088;04db37ae9244ec6b273079c5379ecd23;d372560f5f64e4637483d96d91aa1e7c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127507/DRR127507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127507/DRR127507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127507/DRR127507_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127507/DRR127507.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127507/DRR127507_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127507/DRR127507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127507/DRR127507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127507/DRR127507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127507/DRR127507_2.fastq.gz							2892665091	88331dc8a3f331f64aa82a0f6b715d68	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127507	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127507	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127507				SAMD00114753		human feces_10266	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114755	DRS087526	DRX120253	DRR127509	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	22705255	6291025847	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114755	metagenomic data from human fecal samples	DRP004793	DRX120253	DRR127509	88156056;2140592077;2247930456	7543033f3ddcd039ff4cb24c2bf32bdc;3eb5f1ee3449d2ee8e43371fc820614e;92a96d8c88f932c6e81b9aabd1a7349e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127509/DRR127509.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127509/DRR127509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127509/DRR127509_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127509/DRR127509.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127509/DRR127509_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127509/DRR127509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127509/DRR127509.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127509/DRR127509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127509/DRR127509_2.fastq.gz							3707078743	faf9e3d379306b74425d101b8b045291	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127509	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127509	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127509				SAMD00114755		human feces_10191	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114760	DRS087527	DRX120258	DRR127514	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	7572069	2160696301	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114760	metagenomic data from human fecal samples	DRP004793	DRX120258	DRR127514	65224769;724495588;798225503	811883024cdaa00db2b777c04a4968c7;f1d5d6079822e7a765b5b3ac6e38f96c;0d2fda32bfb87f54b9c2d513481ef087	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127514/DRR127514.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127514/DRR127514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127514/DRR127514_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127514/DRR127514.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127514/DRR127514_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127514/DRR127514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127514/DRR127514.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127514/DRR127514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127514/DRR127514_2.fastq.gz							1313698024	7ac892e31b9a26e6f4080f76b828c64f	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127514	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127514	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127514				SAMD00114760		human feces_10168	0	2019-02-02
PRJDB4176	DRP004793	SAMD00114761	DRS087528	DRX120259	DRR127515	DRA006684	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500		800	PAIRED	WGS	METAGENOMIC	RANDOM	38912178	10773756152	TITECH	2019-02-02	2019-02-02	Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00114761	metagenomic data from human fecal samples	DRP004793	DRX120259	DRR127515	179205493;3640567004;3847560763	6f1f1e76d534600585a14e80bf673e59;8acd27f8859702951f886688cbf3f77a;524c381cb305985d18835b638a8c405e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127515/DRR127515.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127515/DRR127515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127515/DRR127515_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127515/DRR127515.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127515/DRR127515_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR127/DRR127515/DRR127515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127515/DRR127515.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127515/DRR127515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR127/DRR127515/DRR127515_2.fastq.gz							6345420985	b67f82d34e3e4d373736ad5adc712468	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127515	fasp.sra.ebi.ac.uk:/vol1/drr/DRR127/DRR127515	ftp.sra.ebi.ac.uk/vol1/drr/DRR127/DRR127515				SAMD00114761		human feces_10171	0	2019-02-02
