study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA447983	SRP136711	SAMN08813994	SRS3104973	SRX3862919	SRR6915091	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF114		PAIRED	WGS	METAGENOMIC	RANDOM	16092005	3192490905	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF114	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF114	LILT_VF114_T017_R1.fastq.bz2	1033293989;1069569554	0050505d47b68c3425e0e68f895b110c;f137527ffe83fb2bf9a530cd9424574a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/001/SRR6915091/SRR6915091_2.fastq.gz							1558297361	33802687937c7aa3ad4b99490ab03522	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/001/SRR6915091	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/001/SRR6915091	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/001/SRR6915091				VF114		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814053	SRS3104972	SRX3862918	SRR6915092	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF10		PAIRED	WGS	METAGENOMIC	RANDOM	14375831	2856227022	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF10	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF10	LILT_VF10_T016_R2.fastq.bz2	942900607;947832301	8d91975f958164e0245afc8e47312c62;c406d3e8b54d1a163c532d742b41e4b5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/002/SRR6915092/SRR6915092_2.fastq.gz							1406211401	1837105aec8537c13030310c28a98874	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/002/SRR6915092	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/002/SRR6915092	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/002/SRR6915092				VF10		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814037	SRS3104971	SRX3862917	SRR6915093	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF232		PAIRED	WGS	METAGENOMIC	RANDOM	11264060	2238831799	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF232	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF232	LILT_VF232_T017_R2.fastq.bz2	729800540;743513224	fc534a0151e9f218959173d6fd57c122;0d580ab2625281e399959f525697ec33	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_2.fastq.gz							1092769451	748f3cd89a94cdea75393eb15422ac38	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/003/SRR6915093	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/003/SRR6915093	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/003/SRR6915093				VF232		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814031	SRS3104970	SRX3862916	SRR6915094	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF217		PAIRED	WGS	METAGENOMIC	RANDOM	48781963	9691961893	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF217	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF217	LILT_VF217_T017_R1.fastq.bz2	3162184066;3227054194	0220f49737fce1a7f4980c57ee44c8f7;fa9ba7a7358135f2243c940fc026a9a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/004/SRR6915094/SRR6915094_2.fastq.gz							4717295662	a1e09bfff0c71a5014ce1e2e75136e91	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/004/SRR6915094	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/004/SRR6915094	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/004/SRR6915094				VF217		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814036	SRS3104968	SRX3862915	SRR6915095	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF216		PAIRED	WGS	METAGENOMIC	RANDOM	33535491	6667107549	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF216	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF216	LILT_VF216_T017_R2.fastq.bz2	2144137022;2182383083	9e416fa92cdf0ca85aec2255444e4806;65987ce30c7afd3aba090ad17d40f71b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/005/SRR6915095/SRR6915095_2.fastq.gz							3202213025	fd6570e0426eac87cb1f9875a258c912	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/005/SRR6915095	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/005/SRR6915095	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/005/SRR6915095				VF216		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814045	SRS3104967	SRX3862914	SRR6915096	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF214		PAIRED	WGS	METAGENOMIC	RANDOM	6945731	1380598661	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF214	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF214	LILT_VF214_T016_R1.fastq.bz2	445050759;452544468	208fdfa75b3a68774e48f50d6e6854fe;1adaa83ea3a68e3482eaca4752b37214	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/006/SRR6915096/SRR6915096_2.fastq.gz							668968417	39bc79ac34dc7ec98eb0f839a3768f12	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/006/SRR6915096	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/006/SRR6915096	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/006/SRR6915096				VF214		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814044	SRS3104969	SRX3862913	SRR6915097	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF212		PAIRED	WGS	METAGENOMIC	RANDOM	17121245	3397146870	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF212	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF212	LILT_VF212_T016_R2.fastq.bz2	1088130937;1090311806	0d6dc5613246fbc362dd320d5407dacc;6890dcd5adc76f84d8941032041caf77	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/007/SRR6915097/SRR6915097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/007/SRR6915097/SRR6915097_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915097/SRR6915097_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915097/SRR6915097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/007/SRR6915097/SRR6915097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/007/SRR6915097/SRR6915097_2.fastq.gz							1610973164	6520d9265ad051cd14a384c5b11840aa	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/007/SRR6915097	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/007/SRR6915097	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/007/SRR6915097				VF212		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814033	SRS3104966	SRX3862912	SRR6915098	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF208		PAIRED	WGS	METAGENOMIC	RANDOM	47400333	9415204354	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF208	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF208	LILT_VF208_T017_R1.fastq.bz2	3028360564;3088809852	ac21c457d209cc56315eb0cb09cf3e51;0c291d2a68b303f6f62e149e80372a04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/008/SRR6915098/SRR6915098_2.fastq.gz							4552377049	ff6142f37290193edf1dcf7888057b22	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/008/SRR6915098	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/008/SRR6915098	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/008/SRR6915098				VF208		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814029	SRS3104965	SRX3862911	SRR6915099	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF207		PAIRED	WGS	METAGENOMIC	RANDOM	19360972	3848011796	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF207	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF207	LILT_VF207_T017_R2.fastq.bz2	1226222653;1235833174	252e47affcb0a552eabf462795af9b33;afd63ca44d4a9ca1b530fc221bf6675b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/009/SRR6915099/SRR6915099_2.fastq.gz							1817342135	e37c2d14e8777d99d9e7c2c5694cbdd6	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/009/SRR6915099	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/009/SRR6915099	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/009/SRR6915099				VF207		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
PRJNA447983	SRP136711	SAMN08814043	SRS3104963	SRX3862910	SRR6915100	SRA676334	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	VF206		PAIRED	WGS	METAGENOMIC	RANDOM	40567468	8069908204	SUB3791708	2018-08-15	2018-08-15	Illumina HiSeq 2500 sequencing; wgs of human gut: VF206	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	PRJNA447983	VF206	LILT_VF206_T016_R2.fastq.bz2	2588894864;2607956975	613fb95c251b8dee23ce63e4fcf87f0a;e218143bf7253ed09f667cf4e1548b50	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/000/SRR6915100/SRR6915100_2.fastq.gz							3825675663	1c4d1f74098e14633e917d71f22f25ea	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/000/SRR6915100	fasp.sra.ebi.ac.uk:/vol1/srr/SRR691/000/SRR6915100	ftp.sra.ebi.ac.uk/vol1/srr/SRR691/000/SRR6915100				VF206		This sample has been submitted by pda|andrewmaltezthomas@gmail.com on 2018-08-15; human gut metagenome		2018-08-15
